Election,Party1,Party2
17,Avoda,Meretz
17,Likud,IsraelBeitenu
17,Shas,YahadutTora
17,Chadash,Balad
18,Avoda,Meretz
18,Likud,IsraelBeitenu
18,BayitYehudi,IchudLeumi
18,Shas,YahadutTora
18,Chadash,Raam
19,Likud,BayitYehudi
19,Shas,YahadutTora
19,Tnuaa,Meretz
19,YeshAtid,Avoda
19,Balad,Chadash
20,Likud,BayitYehudi
20,MachaneTziyoni,Meretz
20,Kulanu,IsraelBeitenu
20,Shas,YahadutTora
21,Likud,IchudLeumi
21,Shas,YahadutTora
21,Chadash,Raam
21,Meretz,Avoda
22,KacholLavan,IsraelBeitenu
22,Likud,Yamina
22,Avoda,MachaneDemocrati
22,Shas,YahadutTora
23,Likud,Yamina
23,KacholLavan,Avoda
23,YahadutTora,Shas
